"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","Operational"
"0","209.27482180412164","192.68970857506147","0.12841796875","0.1484375","0.1083984375","1560","0.00022989680727429957","32","0.00022989680727429957","0","0.00022989680727429957","0.00022989680727429957","15:0.007487752107944445;1:0.005454122880903495","15:68;1:68","15:0.004391845370685876;1:0.004481760697831599","Yes"
"1","230.20544786748317","170.12971914437844","0.048583984375","0.0380859375","0.05908203125","1560","0.00014171603030966765","32","0.00014171603030966765","0","0.00014171603030966765","0.00014171603030966765","2:0.002350877957897124;0:0.005454122880903495","2:68;0:68","2:0.004544890947161706;0:0.004481760697831599","Yes"
"2","137.44697646329428","137.91037556044884","0.037841796875","0.06494140625","0.0107421875","1560","0.00045077110713550813","32","0.00045077110713550813","0","0.00045077110713550813","0.00045077110713550813","1:0.002350877957897124;3:0.002311232777440525","1:68;3:68","1:0.004544890947161706;3:0.004370550499375514","Yes"
"3","277.85590244789955","190.25780685823162","0.040283203125","0.07080078125","0.009765625","1560","0.0002303816769749863","32","0.0002303816769749863","0","0.0002303816769749863","0.0002303816769749863","2:0.002311232777440525;4:0.0061383107291371475","2:68;4:68","2:0.004370550499375514","Yes"
"4","166.80172331994126","217.0375150839383","0.034912109375","0.0439453125","0.02587890625","1560","0.0002466980677882768","32","0.0002466980677882768","0","0.0002466980677882768","0.0002466980677882768","3:0.0061383107291371475;5:0.005397625788135962;16:0.00260351365229608","3:68;5:68;16:80","5:0.0036487327772364853;16:0.0033078512458962206","Yes"
"5","162.1586146268506","161.58306199676173","0.0078125","0.00927734375","0.00634765625","1560","0.0004618220174609362","32","0.0004618220174609362","0","0.0004618220174609362","0.0004618220174609362","6:0.0036243882907880665;4:0.005397625788135962","6:68;4:68","6:0.013662199541098402;4:0.0036487327772364853","Yes"
"6","45.77492579163856","73.36140909200364","0.01416015625","0.02392578125","0.00439453125","1560","0.0003918030896207","32","0.0003918030896207","0","0.0003918030896207","0.0003918030896207","5:0.0036243882907880665;7:0.003814903714089435","5:68;7:68","5:0.013662199541098402;7:0.006782824699467199","Yes"
"7","203.59065612729825","133.67326904620055","0.013916015625","0.015625","0.01220703125","1560","0.0008115547567920214","32","0.0008115547567920214","0","0.0008115547567920214","0.0008115547567920214","6:0.003814903714089435;8:0.0028362194927289697","6:68;8:68","6:0.006782824699467199;8:0.0030692868702495157","Yes"
"8","104.70153151935949","106.26921241454971","0.05126953125","0.0537109375","0.048828125","1560","0.0004882060727788961","32","0.0004882060727788961","0","0.0004882060727788961","0.0004882060727788961","9:0.003423308177300438;17:0.002472404947811341;7:0.0028362194927289697","9:68;17:108;7:68","9:0.005133315543562972;17:0.005489921757242194;7:0.0030692868702495157","Yes"
"9","89.08359140927575","89.71494419644075","0.021484375","0.04052734375","0.00244140625","1560","0.0008215790560343766","32","0.0008215790560343766","0","0.0008215790560343766","0.0008215790560343766","8:0.003423308177300438;10:0.003254955351770228","8:68;10:68","8:0.005133315543562972;10:0.006449486062866994","Yes"
